is_urban,population_density,water_source,water_treatment,ph,avg_temperature_c,avg_rainfall_mm,avg_humidity_pct,flooding,Outbreak_Risk
1,402,1,2,8.38,22.8,41.8,47.3,1,0
0,505,0,3,6.34,27.6,32.5,59.3,0,1
0,727,0,0,7.58,20.2,20.2,50.8,1,0
1,70,2,0,6.94,28,41.5,64.6,1,0
0,308,3,3,6.51,27.8,510.6,81,0,1
0,794,0,1,8.08,27.2,41.9,67.5,0,0
1,935,0,2,8.28,29.2,165.2,77.3,0,0
1,897,4,2,7.65,13,28.4,38.1,0,0
1,578,2,2,6.68,41.5,75.9,59.4,0,1
1,50,1,3,7,23.5,74.5,71.5,1,1
1,749,0,3,7.09,8.1,12.1,48.9,0,1
1,10821,5,2,7.96,30.1,424.2,76.2,1,0
1,208,0,1,7.04,15.2,18.8,41.1,0,0
1,604,5,1,7.1,37.2,41.1,36.3,0,0
0,180,3,3,7.12,37.3,7.9,43,0,1
0,903,1,0,7.56,28.3,223.5,93.6,0,1
0,428,5,3,6.63,11.1,5.2,40.5,0,1
0,583,3,3,6.62,44.6,37.2,52.6,0,1
0,9986,0,1,7.37,29.4,15.5,52.7,0,0
1,350,0,2,8.1,27.3,34.4,64.3,0,0
1,516,2,1,7.06,27.6,376.3,91.6,0,0
1,269,0,1,7.01,40.4,22.6,25.2,0,1
1,1382,2,3,8.39,28.6,275.3,89.5,0,0
0,191,2,0,8.24,12.9,6.7,56.7,0,0
1,414,1,2,7.94,30.6,692.9,84.4,0,0
0,415,5,1,7.4,27.8,666.4,83.2,0,1
0,644,1,2,6.92,34.5,259.5,96.6,0,1
0,241,1,3,7.07,27.6,219.1,70.5,0,1
1,365,2,2,7.61,30,37.7,45.8,0,1
0,260,2,0,7.37,45.7,18.8,52,0,0
0,578,2,1,6.87,31.2,166.3,60.8,0,0
1,618,2,3,7.64,8.2,7.4,57.4,0,0
1,483,3,3,7.67,30,30.4,41.5,1,1
1,651,5,3,6.8,36,25.5,40.2,0,1
1,1176,5,0,6.8,7.7,29.8,38.2,0,1
1,478,3,1,7.5,47.4,34.6,45.1,0,1
1,587,6,3,7.6,21.8,16.7,36.4,0,1
1,273,5,3,7.19,27.2,600.3,93.1,0,1
0,134,1,3,7.03,37.4,275.6,71,0,1
1,773,2,1,7.84,42.8,54.3,26.8,0,0
0,140,2,3,6.46,46.4,29.9,26.3,0,1
0,490,4,0,7.25,33.3,79.3,38.9,0,0
0,1007,2,0,7.17,12.7,15.7,33,0,0
1,763,4,3,6.92,26,46.8,52.9,1,1
0,616,5,3,7.37,43.7,20.6,40.9,0,0
1,376,4,0,7.59,34.3,663.4,89.8,0,0
0,693,6,3,6.35,27.5,81.2,82.3,0,1
0,1179,3,3,7.49,20.5,11.9,39,0,1
1,573,1,0,8.19,27.6,186.5,67.1,1,0
0,1090,3,3,7.16,18.6,40.4,53.1,0,1
0,577,2,3,7.15,35.4,497,74.4,0,1
0,262,0,3,6.92,36.5,189.3,69.6,0,1
1,440,6,1,8.35,12.7,9.1,47.7,0,0
0,975,2,2,7.74,38.8,51.9,30.2,0,0
1,260,4,2,8.03,19.4,6.1,52.8,0,0
1,1124,2,1,8.34,42.5,29.7,30.3,0,0
1,428,3,3,7.42,28.3,101.5,66.2,1,1
0,311,6,3,7.82,26.8,44.4,58,0,1
0,579,0,3,6.99,32.2,496.8,87.9,0,1
1,360,5,3,7.73,43.7,18.3,38.7,0,1
1,1092,6,3,7.6,25.7,24.5,56,0,0
0,483,3,3,6.86,29.1,32.6,58.3,0,1
0,351,5,3,7.08,29.6,44.9,52.4,1,1
1,482,4,1,6.8,24.8,14.8,60.7,0,0
1,9220,2,1,8.3,42.6,24.6,26.1,0,0
0,687,4,3,7.25,22.1,129.6,65.3,0,1
0,308,1,3,7.54,27,37.5,54.3,0,1
0,684,1,3,7.52,33.9,360.1,83.9,0,1
0,405,3,1,7.28,24.8,53.7,62.6,0,1
1,2185,0,3,6.3,23.1,45.2,45.7,0,1
1,387,6,3,6.78,23,75.5,73.3,0,1
0,1365,5,3,7.68,27.9,639.8,80.7,0,1
0,348,4,1,6.94,20.3,32.2,55.3,0,0
0,179,5,3,7.57,27.4,49,65.2,0,1
0,638,3,1,6.34,36.2,309,79.7,0,1
1,1466,1,3,6.89,29.5,374.4,79.2,0,1
0,419,1,3,6.41,30.7,34.2,42.6,0,1
0,49,5,0,8.25,21,30.1,56.1,0,0
0,779,3,3,7.56,37.4,402.8,71.2,0,1
1,14,2,0,8.14,26.4,91.5,55.7,0,0
0,583,3,1,8.18,27.9,208.5,83.2,0,0
0,361,3,3,7.76,35.9,486.9,77.6,1,1
0,437,3,1,7.35,21.9,47.1,55.8,0,0
0,799,1,3,7.13,31.2,299,78.4,1,1
0,474,4,3,6.81,29.1,472.3,92.6,1,1
1,36,3,3,7.16,22.6,42.3,57.5,0,1
0,372,1,1,6.97,10.8,22.4,48.1,0,0
1,483,4,3,6.78,21,18.9,33.3,0,1
1,332,2,2,7.18,30.7,73.6,52.9,0,1
0,1468,2,3,6.94,43,68,46.2,0,1
0,478,1,3,7.35,21,11.2,66.8,0,1
1,267,0,3,8.24,46.9,53.1,40.4,0,0
1,416,0,3,6.74,31.8,52.3,57.1,0,1
0,127,5,3,7.37,32.6,191.7,81.2,0,1
0,1666,3,0,6.57,16,18.6,54.8,0,1
0,414,5,0,7.34,28.4,20.9,60.3,0,0
0,118,1,1,6.44,25.2,371.7,81.5,1,1
0,59,0,3,7.09,8.2,12.2,44.1,0,1
1,9293,0,3,6.57,33,103.7,82.3,1,1
0,37,2,0,7.97,33.2,192.6,77.6,0,0
0,221,2,2,7.83,16.3,6.7,38.3,0,0
1,585,0,1,7.66,31.5,341,87.6,0,0
0,724,5,2,6.97,30.8,64.2,50.9,0,1
0,1380,6,0,7.12,7.7,17.1,47.5,0,0
1,755,5,2,7.25,30.3,300.8,66.8,0,0
1,379,2,0,6.91,27.6,43.9,45.4,0,0
1,138,0,2,7.5,44.9,36.7,48.3,0,1
0,184,4,2,7.66,26.7,88,77.3,0,1
0,1328,1,0,7.47,29.7,361.2,79.9,0,1
1,602,2,0,8.35,38.3,12.2,31.9,0,0
0,298,4,3,6.65,8.2,15,53.1,0,1
0,366,3,3,7.39,31.2,297.1,73.2,0,1
0,287,4,3,7.33,31.2,69.1,78,0,1
0,421,1,1,7.12,28.3,182.9,85.5,1,1
0,274,6,3,6.95,25.9,32.3,51.9,0,1
1,663,2,1,7.5,21.1,23.7,59.3,0,0
0,492,4,1,7.68,33.3,565.1,76.9,0,0
0,125,0,1,8.39,35.9,165.3,67.2,1,0
0,177,5,3,6.27,28.5,766.6,83.3,0,1
0,764,2,2,7.16,40.6,68.4,54.3,0,0
0,273,4,3,6.5,27,148.3,80.6,1,1
1,266,0,0,7.83,25.4,37.9,62,0,0
0,608,2,3,6.54,32,488.5,95.5,0,1
0,133,3,3,7.46,25.8,49.5,46.3,0,1
1,586,5,3,7.01,29.5,579.9,87.5,0,1
1,1410,3,3,6.55,38.4,27.6,42.7,0,1
0,1021,5,3,6.65,31.5,810.8,92.8,0,1
1,953,5,3,7.63,32.3,308.2,94.1,0,1
1,235,0,2,7.54,27.1,24.2,50.6,0,1
0,790,5,3,6.95,26.1,16.1,63.2,0,1
1,10405,6,2,7,37.3,40.3,25.3,0,1
1,340,2,2,8.43,20.8,77.7,63.9,1,0
0,394,6,3,7.75,30.8,533.4,91.4,1,1
0,382,4,3,6.75,20.9,14.9,55.4,1,1
0,687,5,2,7.22,30.7,451.3,74,0,1
1,308,5,3,7.05,24.2,22.9,55.1,0,1
0,278,4,0,8.24,21.8,11,49,0,0
0,144,3,3,7.82,18.1,34.8,72.3,0,1
1,203,0,2,8.33,25.6,656.8,77.9,1,0
0,629,0,3,7.39,12.7,23.8,52.3,0,1
1,966,1,2,6.74,43.3,74.5,45.9,0,1
1,139,1,3,6.74,26.3,39.2,52.4,0,1
0,217,0,1,7.9,47.7,22,29.6,0,0
1,157,0,3,6.85,25.1,387.4,94.7,0,1
0,1319,2,3,7.14,18.4,14.7,59.2,0,1
1,379,6,1,6.6,18.4,30.5,76.7,0,1
0,363,1,3,7.62,36.8,272.4,69.2,0,1
0,359,4,3,7.39,30,162.4,81.1,0,1
0,594,4,3,6.49,40.7,34.9,52.1,0,1
0,29,6,3,7.01,18.7,24.5,45.7,0,1
1,139,2,1,8.2,44.5,24.3,42.3,0,0
1,108,2,2,6.99,12.9,17.2,36.9,0,0
1,267,5,2,6.64,41.3,35.9,31.7,0,1
0,38,1,1,7.38,15.5,7.1,40.5,0,1
1,693,5,3,6.67,30,490.6,84.8,0,1
1,1002,3,3,7.3,13.1,9.1,44.9,0,0
0,541,3,2,6.91,34.1,596.2,71.6,0,1
0,391,0,1,7.17,14.6,14.9,33.3,0,0
0,191,0,3,7.19,27.3,873.6,87.9,0,0
1,960,0,1,7.65,38.8,73.7,55.2,0,0
1,524,0,3,6.91,18.3,42.9,53.8,0,1
1,370,0,1,8.07,16,19.9,44.6,0,0
1,350,0,3,7.7,35.9,40.4,44.9,0,1
0,490,3,3,7.02,34.9,221.1,91.6,1,1
0,652,6,2,7.15,30.8,303.4,71.6,0,1
0,183,3,3,7.53,30.5,728.8,88.4,0,1
0,672,0,3,7.26,10.7,25.4,37.4,0,0
1,133,2,2,8.48,32.5,154.9,58.7,0,0
1,497,6,3,6.91,16.4,20.7,35.2,0,1
1,406,1,1,7.42,39.3,57.9,44.3,0,0
0,742,5,3,6.32,46.4,40.8,42.1,0,1
0,409,3,3,7.88,28.2,468.9,90.7,0,1
0,28,5,3,7.47,24.4,69.8,76.5,0,1
1,8956,1,1,7.65,17.4,28,39.3,0,0
0,351,2,1,7.06,24.8,30.6,68.2,0,1
0,1469,3,3,6.94,24.3,80,64.3,0,1
0,133,4,3,6.8,29.3,29.8,57.8,1,1
1,306,0,2,8.04,21.6,45.7,59.2,0,0
1,415,4,3,7.12,22.9,234.6,61.4,0,0
1,95,2,1,8.47,24.5,721,90.7,0,0
0,341,2,2,8.12,34.3,255.2,94.7,1,0
0,437,3,1,7.44,10.5,7,44.2,0,0
0,237,0,3,6.99,34.9,139.9,89.3,0,1
0,1242,2,2,7.56,32.5,710.5,96.8,0,1
1,119,2,2,7.03,41,15.4,38.8,0,0
1,776,4,3,8.07,41.5,44.2,52.8,0,0
0,449,3,1,6.73,33.9,30.9,50.7,1,1
0,250,4,3,6.57,28.7,469.6,92.2,0,1
1,608,2,1,8.43,37.1,18.3,29.7,0,0
1,635,0,3,7.32,43.5,38.5,32.2,0,1
0,387,1,0,7.5,39.9,70.5,57.4,0,0
1,368,3,1,6.85,22.4,42.9,65.7,0,1
1,340,1,3,7.51,27,582.8,80.1,0,1
0,597,0,2,7.33,31.3,147.9,83.3,0,0
0,1510,3,3,7.22,43.2,62.2,41.4,0,1
1,195,5,3,7.29,39.8,13.1,29.2,0,1
0,570,2,2,6.82,27.4,364.6,80,1,1
0,154,2,3,7.67,15.9,15.4,32.5,0,0
0,512,2,3,7.45,26.8,15.8,50.4,0,1
0,235,6,3,6.67,23.6,598.3,87.4,0,1
1,959,2,2,6.9,16.3,17.3,38.4,0,0
1,225,5,2,7.87,31,27,40.3,0,0
1,719,6,3,7.85,34.7,303.9,93.9,0,1
0,298,1,3,7.81,40.1,59,41,0,1
0,377,5,2,7.49,30.1,147.4,77.1,1,1
1,479,3,0,6.57,17.7,15.1,30.7,0,1
0,120,5,1,6.77,29.4,190.4,87.8,0,1
1,329,5,2,8.29,14.2,6.2,40.2,0,0
0,413,5,3,6.68,28.9,15.8,49.4,0,1
1,465,3,3,7.43,23.8,78.1,72.9,0,1
0,241,2,1,8.39,23.6,29.9,43.6,0,0
0,1115,2,3,7.29,16.4,19.4,40,0,1
0,503,0,3,7.75,32,689.7,66.8,0,1
1,136,1,0,8.14,8.9,13.7,58,0,0
1,452,2,2,7.77,27.3,329.6,82.5,1,0
0,1061,2,2,8.07,11.2,24.6,39.4,0,0
0,642,2,2,7.21,34.8,291.1,68.6,0,1
1,399,5,0,7.16,27.5,747,95.3,1,1
0,697,0,1,7.41,7.1,19.4,52.7,0,0
0,197,5,0,6.44,17.8,26,41.3,0,1
1,98,0,3,6.41,28.5,595,84.9,1,1
1,1189,1,3,6.51,40.9,68.5,56.6,0,1
1,542,2,2,7.83,29,479.1,78.7,0,0
1,475,0,2,7.65,24.9,968.1,86.9,1,0
0,1157,3,3,7.33,30.8,744.8,80.2,1,1
0,8230,5,2,8.21,37.7,294.2,71.1,0,0
0,1383,5,3,7.37,42.6,31.9,49.2,0,1
0,39,5,3,7.42,32,310.5,73.8,1,1
0,317,2,3,7.15,17.2,12.5,51.3,0,0
0,1487,5,3,7.4,36.9,11.6,30.3,0,1
0,314,1,3,6.74,38.8,50.6,32.8,0,1
0,122,1,3,7.04,32.2,128,58.8,0,1
0,116,0,0,8.3,8.4,21.8,64.2,0,0
0,311,3,3,7.9,31.6,34.8,52.4,0,1
1,498,2,1,7.49,33,190.7,58.9,0,0
1,675,2,1,8.46,31.9,137.8,72.2,0,0
0,261,0,3,6.99,36.3,22.7,57.6,0,1
0,869,1,1,7.47,31.4,27.3,47.3,0,0
0,333,1,3,6.18,26.5,741.1,89.2,0,1
0,548,3,1,6.93,34.1,55.1,57.3,0,1
1,408,2,1,7.15,30.5,22,49.9,0,0
1,431,0,3,7,22.4,52.1,74.2,0,0
1,1199,6,3,7.75,28.8,476.2,70.8,0,1
0,535,4,2,7.06,28,16,48,0,1
0,465,3,0,8.34,7.1,6.8,39.3,0,0
0,792,2,3,7.89,26.5,21.3,56.7,0,0
1,279,2,1,7.38,34.6,569.6,92.7,0,0
1,394,5,3,6.78,44.4,50.9,35.2,0,1
0,374,6,1,7.52,44.3,8.6,29.6,0,1
0,1504,5,2,6.59,25.9,64.9,68.6,0,1
0,1499,0,0,7.21,30,311.5,76.8,0,0
1,349,2,1,6.92,34.1,65.2,47.1,0,0
1,660,1,3,6.96,30.6,418.8,74.8,0,1
0,788,5,3,7.9,26.6,542.1,85.8,0,1
1,361,1,3,6.72,9.5,24.9,53.9,0,1
